(epoch 0 itr 10), unsupervised loss is 0.027482, L1 loss is 5.425552, loss is 0.041046
(epoch 0 itr 20), unsupervised loss is 0.023391, L1 loss is 5.307935, loss is 0.036661
(epoch 0 itr 30), unsupervised loss is 0.030234, L1 loss is 5.307247, loss is 0.043502
(epoch 0 itr 40), unsupervised loss is 0.028289, L1 loss is 5.955485, loss is 0.043178
(epoch 0 itr 50), unsupervised loss is 0.030267, L1 loss is 6.055367, loss is 0.045405
(epoch 0 itr 60), unsupervised loss is 0.013616, L1 loss is 5.271275, loss is 0.026794
(epoch 0 itr 70), unsupervised loss is 0.009560, L1 loss is 7.016395, loss is 0.027101
(epoch 0 itr 80), unsupervised loss is 0.017730, L1 loss is 5.861584, loss is 0.032384
(epoch 0 itr 90), unsupervised loss is 0.037496, L1 loss is 4.941739, loss is 0.049851
(epoch 0 itr 100), unsupervised loss is 0.034380, L1 loss is 5.585331, loss is 0.048344
(epoch 0 itr 110), unsupervised loss is 0.024681, L1 loss is 5.686221, loss is 0.038896
(epoch 0 itr 120), unsupervised loss is 0.010586, L1 loss is 5.760331, loss is 0.024987
(epoch 0 itr 130), unsupervised loss is 0.008437, L1 loss is 5.723547, loss is 0.022746
(epoch 0 itr 140), unsupervised loss is 0.020668, L1 loss is 5.562019, loss is 0.034573
(epoch 0 itr 150), unsupervised loss is 0.045326, L1 loss is 5.382024, loss is 0.058781
(epoch 0 itr 160), unsupervised loss is 0.019520, L1 loss is 5.442601, loss is 0.033127
(epoch 0 itr 170), unsupervised loss is 0.042901, L1 loss is 5.610322, loss is 0.056927
(epoch 0 itr 180), unsupervised loss is 0.040695, L1 loss is 5.363501, loss is 0.054104
(epoch 0 itr 190), unsupervised loss is 0.031935, L1 loss is 5.498244, loss is 0.045681
(epoch 0 itr 200), unsupervised loss is 0.036000, L1 loss is 5.847166, loss is 0.050618
(epoch 0 itr 210), unsupervised loss is 0.034217, L1 loss is 5.413189, loss is 0.047750
(epoch 0 itr 220), unsupervised loss is 0.022626, L1 loss is 5.254892, loss is 0.035763
