(epoch 0 itr 10), unsupervised loss is 0.018339, L1 loss is 5.380291, loss is 0.031790
(epoch 0 itr 20), unsupervised loss is 0.021042, L1 loss is 5.569135, loss is 0.034965
(epoch 0 itr 30), unsupervised loss is 0.033693, L1 loss is 5.644441, loss is 0.047804
(epoch 0 itr 40), unsupervised loss is 0.022018, L1 loss is 6.051077, loss is 0.037146
(epoch 0 itr 50), unsupervised loss is 0.025869, L1 loss is 5.519775, loss is 0.039668
(epoch 0 itr 60), unsupervised loss is 0.019128, L1 loss is 5.749156, loss is 0.033501
(epoch 0 itr 70), unsupervised loss is 0.019659, L1 loss is 5.081982, loss is 0.032364
(epoch 0 itr 80), unsupervised loss is 0.011803, L1 loss is 5.854999, loss is 0.026441
(epoch 0 itr 90), unsupervised loss is 0.017381, L1 loss is 5.075292, loss is 0.030070
(epoch 0 itr 100), unsupervised loss is 0.014170, L1 loss is 5.662588, loss is 0.028326
(epoch 0 itr 110), unsupervised loss is 0.016132, L1 loss is 5.413385, loss is 0.029665
(epoch 0 itr 120), unsupervised loss is 0.014442, L1 loss is 5.994225, loss is 0.029428
(epoch 0 itr 130), unsupervised loss is 0.025080, L1 loss is 5.470449, loss is 0.038756
(epoch 0 itr 140), unsupervised loss is 0.065886, L1 loss is 5.027626, loss is 0.078455
(epoch 0 itr 150), unsupervised loss is 0.014901, L1 loss is 5.479935, loss is 0.028601
(epoch 0 itr 160), unsupervised loss is 0.030495, L1 loss is 5.290672, loss is 0.043722
(epoch 0 itr 170), unsupervised loss is 0.021338, L1 loss is 5.989984, loss is 0.036313
(epoch 0 itr 180), unsupervised loss is 0.035108, L1 loss is 5.599883, loss is 0.049108
(epoch 0 itr 190), unsupervised loss is 0.010214, L1 loss is 5.224056, loss is 0.023274
(epoch 0 itr 200), unsupervised loss is 0.039845, L1 loss is 5.888475, loss is 0.054566
(epoch 0 itr 210), unsupervised loss is 0.085207, L1 loss is 6.063251, loss is 0.100365
(epoch 0 itr 220), unsupervised loss is 0.013624, L1 loss is 5.625941, loss is 0.027689
(epoch 0 itr 230), unsupervised loss is 0.015639, L1 loss is 5.490971, loss is 0.029366
(epoch 0 itr 240), unsupervised loss is 0.012465, L1 loss is 5.867350, loss is 0.027134
(epoch 0 itr 250), unsupervised loss is 0.009353, L1 loss is 5.598554, loss is 0.023350
(epoch 0 itr 260), unsupervised loss is 0.011991, L1 loss is 5.119123, loss is 0.024789
(epoch 0 itr 270), unsupervised loss is 0.009129, L1 loss is 5.939664, loss is 0.023978
(epoch 0 itr 280), unsupervised loss is 0.008218, L1 loss is 5.648648, loss is 0.022340
(epoch 0 itr 290), unsupervised loss is 0.011961, L1 loss is 5.849816, loss is 0.026585
(epoch 0 itr 300), unsupervised loss is 0.023864, L1 loss is 5.630126, loss is 0.037939
(epoch 0 itr 310), unsupervised loss is 0.013661, L1 loss is 5.637974, loss is 0.027756
(epoch 0 itr 320), unsupervised loss is 0.026623, L1 loss is 5.930003, loss is 0.041448
(epoch 0 itr 330), unsupervised loss is 0.020073, L1 loss is 5.263901, loss is 0.033233
(epoch 0 itr 340), unsupervised loss is 0.037956, L1 loss is 5.218926, loss is 0.051004
(epoch 0 itr 350), unsupervised loss is 0.013892, L1 loss is 5.401113, loss is 0.027395
(epoch 0 itr 360), unsupervised loss is 0.012207, L1 loss is 5.610106, loss is 0.026232
(epoch 0 itr 370), unsupervised loss is 0.023181, L1 loss is 5.864773, loss is 0.037843
(epoch 0 itr 380), unsupervised loss is 0.016402, L1 loss is 5.718132, loss is 0.030698
(epoch 0 itr 390), unsupervised loss is 0.027137, L1 loss is 5.274491, loss is 0.040323
(epoch 0 itr 400), unsupervised loss is 0.019151, L1 loss is 5.730539, loss is 0.033478
(epoch 0 itr 410), unsupervised loss is 0.017713, L1 loss is 5.915943, loss is 0.032503
(epoch 0 itr 420), unsupervised loss is 0.009940, L1 loss is 5.445270, loss is 0.023553
(epoch 0 itr 430), unsupervised loss is 0.013283, L1 loss is 5.748763, loss is 0.027655
(epoch 0 itr 440), unsupervised loss is 0.027410, L1 loss is 5.522669, loss is 0.041217
(epoch 0 itr 450), unsupervised loss is 0.028779, L1 loss is 5.779337, loss is 0.043228
(epoch 0 itr 460), unsupervised loss is 0.009391, L1 loss is 5.652858, loss is 0.023523
(epoch 0 itr 470), unsupervised loss is 0.049621, L1 loss is 5.515167, loss is 0.063409
(epoch 0 itr 480), unsupervised loss is 0.013066, L1 loss is 6.307040, loss is 0.028833
(epoch 0 itr 490), unsupervised loss is 0.013042, L1 loss is 6.087821, loss is 0.028261
(epoch 0 itr 500), unsupervised loss is 0.017200, L1 loss is 5.555535, loss is 0.031089
(epoch 0 itr 510), unsupervised loss is 0.023614, L1 loss is 5.623350, loss is 0.037673
(epoch 0 itr 520), unsupervised loss is 0.026576, L1 loss is 4.993157, loss is 0.039059
(epoch 0 itr 530), unsupervised loss is 0.013510, L1 loss is 5.778106, loss is 0.027955
(epoch 0 itr 540), unsupervised loss is 0.024664, L1 loss is 5.594126, loss is 0.038649
(epoch 0 itr 550), unsupervised loss is 0.016384, L1 loss is 5.686600, loss is 0.030600
(epoch 0 itr 560), unsupervised loss is 0.013730, L1 loss is 5.353200, loss is 0.027113
(epoch 0 itr 570), unsupervised loss is 0.009569, L1 loss is 6.181322, loss is 0.025022
(epoch 0 itr 580), unsupervised loss is 0.012733, L1 loss is 5.749861, loss is 0.027108
(epoch 0 itr 590), unsupervised loss is 0.023587, L1 loss is 5.397927, loss is 0.037082
(epoch 0 itr 600), unsupervised loss is 0.026693, L1 loss is 5.716384, loss is 0.040984
(epoch 0 itr 610), unsupervised loss is 0.011446, L1 loss is 5.850364, loss is 0.026072
(epoch 0 itr 620), unsupervised loss is 0.018219, L1 loss is 5.301221, loss is 0.031472
(epoch 0 itr 630), unsupervised loss is 0.018626, L1 loss is 5.762044, loss is 0.033031
(epoch 0 itr 640), unsupervised loss is 0.022518, L1 loss is 5.360098, loss is 0.035918
(epoch 0 itr 650), unsupervised loss is 0.026560, L1 loss is 5.879168, loss is 0.041258
(epoch 0 itr 660), unsupervised loss is 0.028083, L1 loss is 5.719251, loss is 0.042381
(epoch 0 itr 670), unsupervised loss is 0.031037, L1 loss is 5.393608, loss is 0.044521
(epoch 0 itr 680), unsupervised loss is 0.007816, L1 loss is 5.645347, loss is 0.021929
(epoch 0 itr 690), unsupervised loss is 0.014649, L1 loss is 5.511663, loss is 0.028428
(epoch 0 itr 700), unsupervised loss is 0.016674, L1 loss is 5.627667, loss is 0.030743
(epoch 0 itr 710), unsupervised loss is 0.022159, L1 loss is 5.352734, loss is 0.035540
(epoch 0 itr 720), unsupervised loss is 0.015593, L1 loss is 5.404339, loss is 0.029104
(epoch 0 itr 730), unsupervised loss is 0.030602, L1 loss is 5.362869, loss is 0.044009
(epoch 0 itr 740), unsupervised loss is 0.028149, L1 loss is 5.549545, loss is 0.042023
(epoch 0 itr 750), unsupervised loss is 0.022314, L1 loss is 5.368959, loss is 0.035737
(epoch 0 itr 760), unsupervised loss is 0.031781, L1 loss is 5.555198, loss is 0.045669
(epoch 0 itr 770), unsupervised loss is 0.032096, L1 loss is 5.293520, loss is 0.045329
(epoch 0 itr 780), unsupervised loss is 0.021965, L1 loss is 6.253380, loss is 0.037598
(epoch 0 itr 790), unsupervised loss is 0.014493, L1 loss is 5.864179, loss is 0.029153
